LAD17NM
Brent
Bromley
Barking and Dagenham
City of London
Barnet
Bexley
Camden
Croydon
Hackney
Greenwich
Hammersmith and Fulham
Haringey
Harrow
Havering
Hillingdon
Merton
Newham
Redbridge
Lambeth
Lewisham
Enfield
Hounslow
Richmond upon Thames
Southwark
Islington
Kensington and Chelsea
Kingston upon Thames
Waltham Forest
Tower Hamlets
Wandsworth
Ealing
Westminster
Sutton
